title,author,genre,total_likes,status,scrape_date
My Younger Brother's Friend,Nimni,Romance,1800000,ongoing,2022-12-27
Surviving as a Fish,DONG9,Fantasy,272081,ongoing,2022-12-27
Watermelon,Rorita,Fantasy,6100000,ongoing,2022-12-27
Stagtown,Punko,Horror,2200000,ongoing,2022-12-27
Charming the Duke of the North,Stardustvia / gachunga,Fantasy,743370,ongoing,2022-12-27
Soul Gear,Tovon,Action,19583,ongoing,2022-12-27
Annie Green Hates Girls,Minorinmakes,Romance,194238,ongoing,2022-12-27
Zatanna & the Ripper,Sarah Dealy / Syro,Fantasy,362905,ongoing,2022-12-27
Cierra,Rana / Moona,Romance,847977,ongoing,2022-12-27
Flawless,Shinshinhye,Romance,1200000,ongoing,2022-12-27
Never-Ending Darling,Woollee,Thriller,469672,ongoing,2022-12-27
Mistake,Cindy Chwa / Honeytoast,Drama,313226,ongoing,2022-12-27
The Tax Reaper,WintersleepTurtle / Elgar,Drama,519453,ongoing,2022-12-27
Seven Years Later,Tirapuw / hievasp,Drama,378511,ongoing,2022-12-27
Who's Mr. President?,S.M.S / KING Productions,Drama,379288,ongoing,2022-12-27
My Roommate is a Gumiho,NA,Romance,2200000,ongoing,2022-12-27
Da Yomanville Gang,Jason King,Drama,2100000,ongoing,2022-12-27
Teenage Dragon,Peanut,Comedy,226769,ongoing,2022-12-27
Exchange Student,ultrafrog,Drama,162199,ongoing,2022-12-27
Dragon Savior,Han SeRam / Tom,Fantasy,14436,ongoing,2022-12-27
REAWAKENED MAN,Yongtaek Chae / Jaehan Kim,Action,624694,ongoing,2022-12-27
Cat Got Your Tongue,Teo / Corey,Comedy,199005,hiatus,2022-12-27
Taekwondo Kid,JUN,Sports,316300,ongoing,2022-12-27
The Dog Diaries,yee seon,Slice of life,537283,ongoing,2022-12-27
Neolithic Girl,JAEAH / GARAM HAN,Fantasy,866426,ongoing,2022-12-27
Nonesuch,The Bitsy Artist,Mystery,112691,ongoing,2022-12-27
Lavender Jack,Dan Schkade,Superhero,712951,ongoing,2022-12-27
Zero Game,zelbasen,Fantasy,2700000,ongoing,2022-12-27
Re-Possessed,Yishan Li / Trevor Mueller,Action,69551,ongoing,2022-12-27
BlackSmith,Boredman,Supernatural,270041,hiatus,2022-12-27
It Was All You,I SOON KI / OH5HO,Sci-fi,1100000,ongoing,2022-12-27
Betwixt,Harihtaroon,Mystery,162708,hiatus,2022-12-27
Cydonia Shattering,Tony Karnowski / Cocoon Production,Fantasy,157674,ongoing,2022-12-27
Divine Circumstances,Yusoo / Jeong Aro,Romance,175028,ongoing,2022-12-27
