title,author,genre,total_likes,status
crumbs,whitherling,romance,1800000,completed
brutally honest,deya muniz,comedy,1300000,completed
she would never know,cafelatte / jinha,romance,1600000,completed
our time,seaweed candy / leewol,drama,472074,completed
noblesse: rai's adventure,jeho son / kwangsu lee,action,328437,completed
the makeup remover,lee yone,romance,13300000,completed
aerial magic,walkingnorth,fantasy,1700000,completed
all of us are dead,joo dong-geun,thriller,1300000,completed
melvina's therapy,a.rasen,horror,2200000,completed
it's mine,lucks,thriller,10200000,completed
tales of greed,juin kim / taejun pak webtoon company,thriller,755971,completed
nevertheless,jeongseo,romance,1200000,completed
friday: forbidden tales,bae jin-soo,thriller,526926,completed
the wolf & red riding hood,xuann,comedy,3600000,completed
undeaded,boredman,supernatural,1200000,completed
cherry blossoms,park subong,romance,158607,completed
gremoryland,a.rasen,horror,2300000,completed
promise of an orchid,jeong hyun joo / park jin hwan,fantasy,644957,completed
ghost wife,sejung,romance,10500000,completed
super secret,eon,romance,11900000,completed
hooky,míriam bonastre tur,fantasy,9600000,completed
yumi's cells,donggeon lee,slice of life,18800000,completed
miss abbott and the doctor,maripaz villar,romance,8300000,completed
atelier on the sunflower hill,roctis tray,fantasy,315177,completed
toaster dude,littlebobler / soaporsalad,comedy,3300000,completed
dating with a tail,jinha / hepon,romance,3200000,completed
the strange tales of oscar zahn,tri vuong,fantasy,1200000,completed
life outside the circle,h-p lehkonen,drama,1000000,completed
the nuna at our office,wasakbasak / jane,drama,751144,completed
noblesse,jeho son / kwangsu lee,action,20900000,completed
kind of love,various artists,romance,3000000,completed
illustrated internet,dami lee,comedy,674024,completed
whale star: the gyeongseong mermaid,na yoonhee,drama,1200000,completed
rotten,goodguy,thriller,1200000,completed
once a hero,yankifull,fantasy,625681,completed
a useless villain,yeoul / odi,action,1200000,completed
shadow,yunuji / haejin,superhero,192654,completed
the aftermath,bongsoo,drama,171492,completed
ghost theater,lico,drama,2200000,completed
rewriting extinction,various artists,comedy,284970,completed
the steam dragon express,merryweather / porforever,fantasy,3100000,completed
ecstasy hearts,silentmaru,sports,4500000,completed
deadlife,hooressha / jinguk lim,action,460169,completed
back to you,honey b,drama,5000000,completed
shootaround,suspu,drama,1800000,completed
eggnoid,archie the redcat,sci-fi,14600000,completed
ghost teller,qtt,horror,5200000,completed
kids are all right,hp56,drama,425531,completed
madame outlaw,junk ren / wmw,historical,1300000,completed
drawing on heritage,webtoon creators,informative,52678,completed
my boo,jeongseo,supernatural,2900000,completed
newman,josh ulrich,fantasy,2700000,completed
zombie ship,choi hae woong / choi insoo,horror,200897,completed
orange marmalade,seokwoo,romance,4900000,completed
illuminated,rachel song / maria nguyen,informative,136578,completed
tales of the unusual,sungdae oh,horror,9900000,completed
luff,arechan,romance,9200000,completed
death's game,lee wonsik / ggulchan,drama,1500000,completed
small world,wonsun jin,slice of life,18600000,completed
mosquito wars,jh,sci-fi,585686,completed
the wolfman of wulvershire,k. oliver,mystery,2100000,completed
for the sake of sita,haga,romance,347113,completed
when the day comes,omyo,heartwarming,1500000,completed
phantom paradise,rurisen (l. zhu),fantasy,3500000,completed
spirit fingers,han kyoung chal,drama,5300000,completed
the wrath & the dawn,renée ahdieh / silvestervitale,fantasy,5500000,completed
assassin roommate,monica gallagher,romance,3800000,completed
elena,jorge jaramillo,horror,247111,completed
mystical,van.j,supernatural,3400000,completed
late bloomer,zealforart,romance,753123,completed
double-binded by love,fortune king / esam,romance,202215,completed
hardcore leveling warrior,sehoon kim,action,15500000,completed
girls of the wild's,hun / zhena,action,7400000,completed
refund high school,lico,fantasy,11900000,completed
let me stay over tonight!,yunana / heabun,romance,1900000,completed
the sound of magic: annarasumanara,ilkwon ha,drama,918041,completed
her bucket list,yellow sheep / so-p,romance,1200000,completed
my daughter is a zombie,yun-chang lee,comedy,2100000,completed
matchmaker hero,madeline ince,sci-fi,1100000,completed
cape of spirits,kris nguyen,action,2400000,completed
the cliff,sungdae oh,thriller,114472,completed
snailogy,snailords,slice of life,2600000,completed
the girl downstairs,songah min,romance,3900000,completed
murrz,murrz,slice of life,22100000,completed
cat loaf adventures,kyutepastry,slice of life,2200000,completed
eternals: the 500 year war,marvel,superhero,69515,completed
fast forward,porto / junki hong,thriller,1000000,completed
warning label,thomas f. zahler,romance,460283,completed
your adventure,chris mccoy,comedy,165747,completed
saphie: the one-eyed cat,joho,slice of life,11800000,completed
house of stars,saltacuentos / lion illustration,fantasy,869254,completed
anti-monster force,goaten,fantasy,486642,completed
moonlight beauty parlor,nawa,drama,689814,completed
samadhi,lee wonsik / ggulchan,superhero,591147,completed
cheese in the trap,soonkki,drama,9300000,completed
dark mortal,jeonyeok lee,drama,1200000,completed
the fever king,victoria lee / saradeek,superhero,2600000,completed
oh! holy,ahyun,romance,8500000,completed
my dictator boyfriend,teo / guy,comedy,5300000,completed
heart anthology,marvin.w / caw-chan,heartwarming,1700000,completed
forest of humans,junho hwang,thriller,354205,completed
library ghost,mikey heller,comedy,276939,completed
scorching romance,hongchi,romance,5400000,completed
cinnamonroll,re me,romance,870598,completed
meow man,olso,comedy,4000000,completed
big jo,jungle julia,romance,5600000,completed
finding wonderland,roousuu / wmw,fantasy,1000000,completed
catharsis,ahniki,fantasy,3300000,completed
money game,bae jin-soo,thriller,258363,completed
floating in my mind,hcy,supernatural,475983,completed
hellper,sakk,fantasy,1100000,completed
my universe,gongyi / moonkyoung kim,romance,1000000,completed
dragnarok,kpj / magmi,fantasy,447649,completed
the girl from class,park subong,drama,366234,completed
there's love hidden in lies,kawai aporo,romance,1500000,completed
my name is benny,sokomin,slice of life,4600000,completed
the stories of those around me,omyo,romance,912581,completed
jumping over,jonijo / suh saya,romance,392127,completed
fluffy boyfriend,mihi,supernatural,4900000,completed
gosu,giun ryu / mun jeong hoo,action,6300000,completed
rise from ashes,madeleine rosca,supernatural,4400000,completed
waffles & pancakes,dt saranya,slice of life,9000000,completed
taste of illness,ilkwon ha,drama,570820,completed
tenants from another world,kiki / e-um,fantasy,489006,completed
marry me!,miku yuki,romance,2800000,completed
before we knew it,nakano mayaka,romance,4600000,completed
delusion,hongjacga,thriller,1100000,completed
a budgie's life,muffin girl,slice of life,7400000,completed
brain anthology,various artists,horror,820939,completed
witch creek road,garth the geek / kenan halilovic,horror,1800000,completed
untouchable,massstar,romance,6100000,completed
skye,cynthia j.s.,fantasy,618383,completed
hapi buni,ryan pagelow,comedy,2800000,completed
rot & ruin,taylor grant / alempe,horror,1500000,completed
10th dimension boys,cutbu,comedy,838931,completed
bite me,affectedmind,thriller,1400000,completed
strawberry seafoam,bryan golden,fantasy,2200000,completed
april flowers,ccustard,fantasy,1300000,completed
apocalyptic horseplay,boredman,supernatural,1300000,completed
smile brush,waroo,slice of life,426064,completed
yuna & kawachan,lauren schmidt,drama,1800000,completed
behind the curtain,dagwa,romance,185121,completed
as per usual,dami lee,slice of life,9700000,completed
dragnarok: descendants,kpj / magmi,fantasy,355906,completed
salty studio,omyo,romance,1100000,completed
under the aegis,vimeddiee,fantasy,563915,completed
illusions of adulting,sara zimmerman/unearthed comics,slice of life,168189,completed
flow,honey b,fantasy,2900000,completed
live forever,raúl trevino,thriller,850047,completed
lorna,benji nate,slice of life,378865,completed
the gentleman’s armchair,wes,comedy,299643,completed
fake humans,kim-badak / 0-hwan2,thriller,292869,completed
dice,hyunseok yun,fantasy,10400000,completed
don't hate,pink_alien,comedy,4300000,completed
if ai ruled the world,pogo / hoopa,sci-fi,639555,completed
happiness,jin cheol-soo / park si-hyun,action,258284,completed
the world where i belong,gmow,supernatural,1000000,completed
behind the gifs,ac stuart / kat swenski,comedy,8600000,completed
soul on hold,austen marie,supernatural,1300000,completed
cooking comically,tyler capps,informative,294578,completed
love falls like rain,yeri,romance,623063,completed
unlucky is as lucky does,m. nires,comedy,3500000,completed
elf & warrior,ac stuart / victor rosas ii,fantasy,2500000,completed
sword interval,benjamin fleuter,supernatural,1600000,completed
staying healthy together,various artists,informative,1600000,completed
the sound of another,baek june / thresher,sci-fi,426840,completed
beetle hands,herhumanist,horror,418206,completed
a mark against thee,gotaeho,drama,273749,completed
supersonic girl,sandra diaz,superhero,661802,completed
microhunter,b.y / jrobin,action,3000000,completed
about death,sini / hyeono,drama,382071,completed
see no evil,gwangtanto / maduru,thriller,470126,completed
lilac 200%,uiyoung,drama,368660,completed
grasp,jeonghoon hwang,thriller,280243,completed
dustinteractive,dustin rogers,comedy,8300000,completed
lessa,pogo,action,573127,completed
deep,towoo / tae heon kim,thriller,227340,completed
cupid's arrows,thomas f. zahler,romance,500103,completed
hive,kyusam kim,thriller,2900000,completed
ant,jaehee,thriller,143386,completed
garden club detective squad,52chu,mystery,1000000,completed
how to love,dorris mccomics,slice of life,673288,completed
webtoon greenlight,webtoon / various artists,fantasy,3300000,completed
winter woods,cosmos / van.j,drama,3800000,completed
the wendybird,wmw / thabfu,fantasy,817998,completed
nano list,songah min,sci-fi,3400000,completed
dead days,dey,horror,585508,completed
this magical moment,na yoonhee,supernatural,635046,completed
brothers bond,kevin grevioux / ryan benjamin,action,160104,completed
moon you,cho seok,sci-fi,747814,completed
epilogue,cho seok,thriller,182781,completed
just for kicks,josie fox,slice of life,2500000,completed
underprin,smbryms,supernatural,2800000,completed
wolfsbane,ryan cady / morgan beem,horror,155737,completed
crown of feathers,nicki pau preto / foxkirin,fantasy,1200000,completed
she bites!,mandarat / nochanjoo,slice of life,235744,completed
the girl who sees smells ,maanchwee,fantasy,800541,completed
dents,beth behrs & matt doyle / sid kotian,sci-fi,873223,completed
duty after school,ilkwon ha,sci-fi,454925,completed
pacific rim: amara,cavan scott / zhang ran / bign,sci-fi,86693,completed
family man,pillwon jung,drama,138901,completed
asterion,neverdraws,drama,418809,completed
the golden spoon,hd3,drama,326168,completed
sidekicks,iron shin,superhero,766698,completed
bloodhounds,jeong chan,action,131903,completed
girls have a blog,sarah bollinger / tara kurtzhals,slice of life,708401,completed
bloodless wars,tovon,sci-fi,378556,completed
the savior's time,song geukjang,thriller,455783,completed
a fake affair,akiko higashimura,romance,204054,completed
arma,sgt.,superhero,1300000,completed
1111 animals,1111,comedy,261578,completed
laras's heart,tupaikidal,drama,155569,completed
lessa 2 - the crimson knight,pogo,action,854522,completed
the sound of your heart,cho seok,comedy,2200000,completed
the weight of our sky,hanna alkaf / nisrina a.n.,historical,1200000,completed
messenger,paul tobin / ray nadine,fantasy,728950,completed
mercworks,david j catman,slice of life,522029,completed
magical 12th graders,seri / biwan,superhero,590362,completed
island,inwan youn / kyungil yang,action,71484,completed
ctrl+z,miti,thriller,664827,completed
shard,echorise,supernatural,944192,completed
i don't want this kind of hero,samchon,superhero,3200000,completed
magic soda pop,raúl trevino,supernatural,666557,completed
flowar,hongjacga,sci-fi,264026,completed
jackie rose,josh ulrich,supernatural,225393,completed
god of bath,ilkwon ha,comedy,302514,completed
my kitty and old dog,cho,slice of life,939717,completed
be still my heart,ilkwon ha,sports,68019,completed
11 of me,jiae go / jaeyeong yeong,supernatural,206555,completed
s.i.d.,sadaham,supernatural,1900000,completed
helios:femina,michelle phan,fantasy,302147,completed
smile brush: my old pictures,waroo,slice of life,351811,completed
ghosts among the wild flowers,ghost wintersnow,fantasy,465133,completed
heroine chic,david tischman / audrey mok,superhero,927567,completed
american road trip,patrick flores-scott / little corvus,drama,347990,completed
1000,chuck brown / sanford greene,action,81140,completed
davinchibi,camilla d’errico / stephen w. martin,fantasy,77677,completed
gepetto,jewon yeon,sci-fi,722440,completed
midnight rhapsody,wony / yoonsoo sim,slice of life,122047,completed
the badguys,luke lancaster / orlando caicedo,superhero,330427,completed
the masked fables,ebae kim,fantasy,537987,completed
roar street journal,bonnie pang,slice of life,1000000,completed
subtle disaster,sungho an,drama,197442,completed
guardians of the video game,gasfard,sci-fi,475980,completed
aphrodite ix,matt hawkins / stjepan sejic,sci-fi,160847,completed
soul cartel,haram / youngji kim,fantasy,1300000,completed
falling in the blue,simzart,sci-fi,135431,completed
doodle for food,megan mckay,slice of life,3600000,completed
new normal: class 8,youngpaka,drama,2800000,completed
trash bird,reza farazmand,comedy,1100000,completed
code helix,nikki dibya wardhana / bryan arfiandy,drama,176597,completed
a bittersweet life,donggeon lee,slice of life,445087,completed
moonbeard,james squires,comedy,406173,completed
finality,warren ellis / colleen doran,mystery,23682,completed
skate!!! fire 100,mallowboo / diggymungo,sports,283406,completed
national dog day 2016,various artists,slice of life,186500,completed
2015: space series,various artists,sci-fi,66332,completed
the red hook,dean haspiel,superhero,54837,completed
xink3r,chu kwon,superhero,661809,completed
caster,common / noble transmission,action,73710,completed
randomphilia,devin bosco le,comedy,1100000,completed
westwood vibrato,inwan youn / sunhee kim,drama,201796,completed
lunarbaboon,lunarbaboon,slice of life,4700000,completed
varsity noir,kate glasheen,mystery,187328,completed
spirits,joseph grabowski / colin lawler,fantasy,162540,completed
average adventures of an average girl,lallirrr,slice of life,596184,completed
3-second strip,bae jin-soo,comedy,829116,completed
ㄴㅇㄹㅇㄴㄹ,lozolz,informative,267230,completed
ode to our youth,heenari,comedy,75626,completed
metaphorical her,james maddox / david stoll,drama,184109,completed
faust,arechan,supernatural,597700,completed
all that we hope to be,it sun,slice of life,205864,completed
aura from another planet,kyusam kim,comedy,275915,completed
haxor,walter ostlie,sci-fi,196760,completed
firebrand,jessica chobot& erika lewis / claudia aguirre,supernatural,310227,completed
rob,richard dinnick / magda price & miguel sepulveda,fantasy,63772,completed
cyberbunk,bradley mason / sce,sci-fi,149037,completed
aisopos,yangsoo kim / dogado,drama,286843,completed
ghost bats,walter ostlie,sci-fi,119491,completed
the red hook: war cry,dean haspiel,superhero,43211,completed
magician,serae kim,fantasy,2400000,completed
sithrah,jason brubaker,fantasy,272321,completed
lars,the awkward yeti,slice of life,309153,completed
cluster fudge,john mcnamee,slice of life,246303,completed
pound,tony karnowski / orlando caicedo,action,355734,completed
heartwired,rod hannah / stratosmacca,sci-fi,208622,completed
fantasy sketch - the game,jaekyeong um / beom sick cheon,sci-fi,100310,completed
buzzfeed comics,buzzfeed comics,comedy,830787,completed
up and out ,julia kaye,slice of life,560903,completed
epic v,ardtron / gnice,comedy,20239,completed
alice elise,nicky soh,fantasy,134314,completed
all that you are,brayden sato,drama,100910,completed
denma,youngsoon yang,sci-fi,2800000,completed
midnight rhapsody : season 2,wony / yoonsoo sim,slice of life,103680,completed
power ballad,molly brooks,superhero,103739,completed
knight run,sungmin kim,sci-fi,167182,completed
thornstone,vicente miranda,fantasy,597219,completed
the red hook: blackout & ptsd,dean haspiel,superhero,21698,completed
the red hook: starcross,dean haspiel,superhero,21440,completed
shadow pirates, sean galloway / ​ ian hopps / leonel castellani,fantasy,51324,completed
inarime,maria riccio / tommaso bennato,superhero,121440,completed
the brooklynite,seth kushner / shamus beyale,superhero,33568,completed
new life project,cherng,comedy,74815,completed
eat fighter,crystal skillman / fred van lente / fernando pinto,sports,69786,completed
polidiocy,mahoney & akel / ryan dunlavey,comedy,74846,completed
tickle town,ardtron / gnice,comedy,117388,completed
cyberforce,top cow productions,superhero,55378,completed
the life of the three bears,mr.d,slice of life,53950,completed
acursian,john barrowman / carole barrowman and erika lewis,supernatural,35689,completed
immortal nerd,hanna-pirita lehkonen,slice of life,176679,completed
the purple heart,vito delsante / ricardo venâncio,superhero,50304,completed
just ask yuli,yulius efferven,slice of life,29799,completed
the danemen,david danemen,comedy,465364,completed
jingle jungle,yongjin kim,slice of life,52158,completed
city of walls,a.k. lovelace / shaun noel,drama,20650,completed
cyko-ko,robert feldman,superhero,8884,completed
hello world!,alex norris,slice of life,171493,completed
nicholalala,nichola gwon,slice of life,186993,completed
pigminted,le brown,slice of life,237321,completed
penguin loves mev,penguin,slice of life,329954,completed
