title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter,likes,published,scrape_date
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,399,49564,2021-04-12,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,398,52361,2021-04-09,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,397,51048,2021-04-05,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,396,52158,2021-04-02,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,395,51535,2021-03-29,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,394,55177,2021-03-26,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,393,56098,2020-11-30,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,392,54417,2020-11-27,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,463,34810,2021-12-24,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,462,35411,2021-12-20,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,461,35240,2021-12-17,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,460,36382,2021-12-13,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,459,37249,2021-12-03,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,458,36695,2021-11-29,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,457,37555,2021-11-26,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,456,38852,2021-11-19,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,455,39751,2021-11-15,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,526,19824,2022-09-19,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,525,19804,2022-09-16,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,524,20512,2022-09-12,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,523,22025,2022-09-09,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,522,21055,2022-09-05,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,521,21148,2022-09-02,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,520,21420,2022-08-29,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,519,20952,2022-08-26,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,518,21661,2022-08-22,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,499,26136,2022-05-13,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,498,26166,2022-05-09,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,497,25625,2022-05-06,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,496,26609,2022-05-02,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,495,27029,2022-04-29,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,494,28655,2022-04-25,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,493,27258,2022-04-22,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,492,27555,2022-04-15,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,491,27810,2022-04-11,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,121,80215,2018-04-24,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,120,78909,2018-04-21,2023-01-13
