title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter,likes,published,scrape_date
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,112,154128,2022-05-14,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,111,167409,2022-05-07,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,110,156213,2022-04-30,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,109,164689,2022-04-23,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,108,164755,2022-04-16,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,62,227093,2021-03-27,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,61,211596,2021-03-23,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,60,211366,2021-03-20,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,59,204819,2021-03-16,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,58,210407,2021-03-13,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,57,208696,2021-03-09,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,56,207294,2021-03-06,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,55,220632,2021-03-02,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,54,210678,2021-02-27,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,44,213407,2021-01-23,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,43,211089,2021-01-22,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,42,220668,2021-01-21,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,41,221745,2021-01-20,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,40,215922,2021-01-19,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,39,215888,2021-01-18,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,38,220892,2021-01-17,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,37,221333,2021-01-16,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,36,211436,2021-01-12,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,26,210084,2020-12-08,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,25,209715,2020-12-05,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,24,209505,2020-12-01,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,23,211179,2020-11-28,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,22,214548,2020-11-24,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,21,213672,2020-11-21,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,20,218959,2020-11-17,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,19,219999,2020-11-14,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,18,213502,2020-11-10,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,17,220448,2020-11-07,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,16,219243,2020-11-03,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,15,219775,2020-10-31,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,14,224538,2020-10-27,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,13,223723,2020-10-24,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,12,219771,2020-10-20,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,11,222337,2020-10-17,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,10,228338,2020-10-13,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,9,230234,2020-10-10,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,107,161876,2022-04-09,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,106,164125,2022-04-02,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,105,167396,2022-03-26,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,104,167936,2022-03-19,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,103,168121,2022-03-12,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,102,181103,2022-03-05,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,101,170996,2022-02-26,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,100,174275,2022-02-19,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,99,171168,2022-02-12,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,8,225552,2020-10-03,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,7,222674,2020-09-26,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,6,235424,2020-09-19,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,5,225094,2020-09-12,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,4,230206,2020-09-05,2023-01-13
