title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter_number,likes,chater_release_date,scrape_date
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,518,43101,2021-06-10,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,517,40592,2021-06-03,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,516,42050,2021-05-27,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,515,41968,2021-05-13,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,514,41688,2021-05-06,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,513,41781,2021-04-29,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,512,42580,2021-04-22,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,511,42405,2021-04-15,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,510,42119,2021-04-08,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,509,42428,2021-04-01,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,508,44293,2021-03-25,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,507,43572,2021-03-18,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,506,44451,2021-03-11,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,505,42741,2021-03-04,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,504,43779,2021-02-25,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,503,45385,2021-02-18,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,502,47285,2021-02-11,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,501,44667,2021-02-04,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,500,44825,2021-01-28,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,499,42397,2021-01-21,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,498,48916,2021-01-14,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,497,43873,2021-01-07,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,496,44192,2020-12-31,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,495,44153,2020-12-24,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,494,45139,2020-12-17,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,493,46192,2020-12-10,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,492,44978,2020-12-03,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,491,46645,2020-11-26,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,490,46093,2020-11-19,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,489,46669,2020-11-12,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,488,46326,2020-11-05,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,487,47792,2020-10-29,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,486,45842,2020-10-22,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,485,48943,2020-10-15,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,484,48843,2020-10-08,2022-12-27
